Rk,Name,Age,T,W,L,W-L%,ERA,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Rel▼,Name-additional,H/ip,R/ip,ER/ip,HR/ip,BB/ip,IBB/ip,HBP/ip,SO/ip,WP/ip
73,José Urquidy,28,R,11,7,0.611,3.79,1,152.0,136,66,64,23,38,0,130,6,0,4,627,1.145,8.1,1.4,2.3,7.7,3.42,71%,urquijo01,0.8947368421052632,0.4342105263157895,0.42105263157894735,0.1513157894736842,0.25,0.0,0.039473684210526314,0.8552631578947368,0.02631578947368421
74,Alex Wood,32,L,8,9,0.471,4.37,1,138.0,132,72,67,16,39,1,138,12,0,5,583,1.239,8.6,1.0,2.5,9.0,3.54,71%,woodal02,0.9565217391304348,0.5217391304347826,0.4855072463768116,0.11594202898550725,0.2826086956521739,0.007246376811594203,0.08695652173913043,1.0,0.036231884057971016
75,Sonny Gray,33,R,8,7,0.533,3.69,1,134.0,116,59,55,15,46,1,135,7,0,6,557,1.209,7.8,1.0,3.1,9.1,2.93,70%,grayso01,0.8656716417910447,0.44029850746268656,0.41044776119402987,0.11194029850746269,0.34328358208955223,0.007462686567164179,0.05223880597014925,1.007462686567164,0.04477611940298507
76,Adrian Houser,30,R,7,8,0.467,3.99,1,124.0,115,65,55,12,51,1,96,6,0,5,531,1.339,8.3,0.9,3.7,7.0,1.88,70%,housead01,0.9274193548387096,0.5241935483870968,0.4435483870967742,0.0967741935483871,0.4112903225806452,0.008064516129032258,0.04838709677419355,0.7741935483870968,0.04032258064516129
77,Cristian Javier,26,R,8,6,0.571,3.12,2,130.0,90,48,45,16,49,1,156,6,1,5,530,1.069,6.2,1.1,3.4,10.8,3.18,70%,javiecr01,0.6923076923076923,0.36923076923076925,0.34615384615384615,0.12307692307692308,0.3769230769230769,0.007692307692307693,0.046153846153846156,1.2,0.038461538461538464
78,James Kaprielian,29,R,7,8,0.467,4.07,1,137.0,123,66,62,17,52,0,119,6,0,3,582,1.277,8.1,1.1,3.4,7.8,2.29,70%,kaprija01,0.8978102189781022,0.48175182481751827,0.45255474452554745,0.12408759124087591,0.3795620437956204,0.0,0.043795620437956206,0.8686131386861314,0.021897810218978103
79,Corey Kluber,37,R,9,8,0.529,4.2,1,150.0,154,74,70,18,37,1,133,9,0,4,633,1.273,9.2,1.1,2.2,8.0,3.59,70%,klubeco01,1.0266666666666666,0.49333333333333335,0.4666666666666667,0.12,0.24666666666666667,0.006666666666666667,0.06,0.8866666666666667,0.02666666666666667
80,Miles Mikolas,34,R,9,10,0.474,3.6,1,165.0,146,72,66,20,40,1,130,6,1,3,670,1.127,8.0,1.1,2.2,7.1,3.25,70%,mikolmi01,0.8848484848484849,0.43636363636363634,0.4,0.12121212121212122,0.24242424242424243,0.006060606060606061,0.03636363636363636,0.7878787878787878,0.01818181818181818
81,Patrick Sandoval,26,L,6,9,0.4,3.38,2,141.0,126,59,53,13,53,0,142,5,0,5,597,1.27,8.0,0.8,3.4,9.1,2.68,70%,sandopa02,0.8936170212765957,0.41843971631205673,0.375886524822695,0.09219858156028368,0.375886524822695,0.0,0.03546099290780142,1.0070921985815602,0.03546099290780142
82,Tarik Skubal,26,L,7,9,0.438,3.86,1,133.0,119,63,57,18,40,0,136,4,0,3,552,1.195,8.1,1.2,2.7,9.2,3.4,70%,skubata01,0.8947368421052632,0.47368421052631576,0.42857142857142855,0.13533834586466165,0.3007518796992481,0.0,0.03007518796992481,1.0225563909774436,0.022556390977443608
83,Ranger Suárez,27,L,9,7,0.563,3.22,3,137.0,121,57,49,12,48,1,123,4,1,3,572,1.234,7.9,0.8,3.2,8.1,2.56,70%,suarera01,0.8832116788321168,0.41605839416058393,0.35766423357664234,0.08759124087591241,0.35036496350364965,0.0072992700729927005,0.029197080291970802,0.8978102189781022,0.021897810218978103
84,Michael Wacha,31,R,8,5,0.615,4.06,1,133.0,127,64,60,20,36,0,119,5,0,5,553,1.226,8.6,1.4,2.4,8.1,3.31,70%,wachami01,0.9548872180451128,0.48120300751879697,0.45112781954887216,0.15037593984962405,0.2706766917293233,0.0,0.03759398496240601,0.8947368421052632,0.03759398496240601
85,Ian Anderson,25,R,10,6,0.625,3.98,1,129.0,116,60,57,14,52,1,123,3,0,6,551,1.302,8.1,1.0,3.6,8.6,2.37,69%,anderia01,0.8992248062015504,0.46511627906976744,0.4418604651162791,0.10852713178294573,0.40310077519379844,0.007751937984496124,0.023255813953488372,0.9534883720930233,0.046511627906976744
86,Carlos Carrasco,36,R,10,8,0.556,4.12,1,142.0,144,70,65,18,44,1,137,6,0,5,601,1.324,9.1,1.1,2.8,8.7,3.11,69%,carraca01,1.0140845070422535,0.49295774647887325,0.45774647887323944,0.1267605633802817,0.30985915492957744,0.007042253521126761,0.04225352112676056,0.9647887323943662,0.035211267605633804
87,Nestor Cortes,28,L,8,5,0.615,3.02,1,143.0,112,52,48,17,40,0,146,4,0,3,577,1.063,7.0,1.1,2.5,9.2,3.65,69%,cortene01,0.7832167832167832,0.36363636363636365,0.3356643356643357,0.11888111888111888,0.27972027972027974,0.0,0.027972027972027972,1.020979020979021,0.02097902097902098
88,Austin Gomber,29,L,7,7,0.5,4.61,1,121.0,118,67,62,17,39,1,106,4,0,3,512,1.298,8.8,1.3,2.9,7.9,2.72,69%,gombeau01,0.9752066115702479,0.5537190082644629,0.512396694214876,0.14049586776859505,0.32231404958677684,0.008264462809917356,0.03305785123966942,0.8760330578512396,0.024793388429752067
89,Clayton Kershaw,35,L,11,6,0.647,3.11,1,136.0,114,52,47,14,31,0,141,4,1,3,544,1.066,7.5,0.9,2.1,9.3,4.55,69%,kershcl01,0.8382352941176471,0.38235294117647056,0.34558823529411764,0.10294117647058823,0.22794117647058823,0.0,0.029411764705882353,1.036764705882353,0.022058823529411766
90,José Quintana,34,L,5,7,0.417,3.73,1,140.0,136,65,58,13,48,1,129,4,0,4,591,1.314,8.7,0.8,3.1,8.3,2.69,69%,quintjo01,0.9714285714285714,0.4642857142857143,0.4142857142857143,0.09285714285714286,0.34285714285714286,0.007142857142857143,0.02857142857142857,0.9214285714285714,0.02857142857142857
91,Trevor Rogers,25,L,6,9,0.4,4.04,1,127.0,118,62,57,13,46,1,135,6,1,5,545,1.291,8.4,0.9,3.3,9.6,2.93,69%,rogertr01,0.9291338582677166,0.4881889763779528,0.44881889763779526,0.10236220472440945,0.36220472440944884,0.007874015748031496,0.047244094488188976,1.062992125984252,0.03937007874015748
92,Ross Stripling,33,R,8,6,0.571,3.84,2,129.0,121,59,55,17,33,0,112,3,0,2,534,1.194,8.4,1.2,2.3,7.8,3.39,69%,stripro01,0.937984496124031,0.4573643410852713,0.4263565891472868,0.13178294573643412,0.2558139534883721,0.0,0.023255813953488372,0.8682170542635659,0.015503875968992248
93,Walker Buehler,28,R,8,4,0.667,3.27,1,113.0,95,44,41,12,32,1,110,4,0,3,462,1.124,7.6,1.0,2.5,8.8,3.44,68%,buehlwa01,0.8407079646017699,0.3893805309734513,0.36283185840707965,0.10619469026548672,0.2831858407079646,0.008849557522123894,0.035398230088495575,0.9734513274336283,0.02654867256637168
94,Aaron Civale,28,R,8,7,0.533,4.24,1,121.0,112,61,57,17,32,1,112,6,0,3,502,1.19,8.3,1.3,2.4,8.3,3.5,68%,civalaa01,0.9256198347107438,0.5041322314049587,0.47107438016528924,0.14049586776859505,0.2644628099173554,0.008264462809917356,0.049586776859504134,0.9256198347107438,0.024793388429752067
95,Josiah Gray,25,R,7,8,0.467,4.6,1,141.0,126,75,72,29,57,2,145,7,0,7,608,1.298,8.0,1.9,3.6,9.3,2.54,68%,grayjo03,0.8936170212765957,0.5319148936170213,0.5106382978723404,0.20567375886524822,0.40425531914893614,0.014184397163120567,0.04964539007092199,1.0283687943262412,0.04964539007092199
96,Eduardo Rodriguez,30,L,8,6,0.571,4.24,1,121.0,120,63,57,15,40,0,118,3,0,2,515,1.322,8.9,1.1,3.0,8.8,2.95,68%,rodried05,0.9917355371900827,0.5206611570247934,0.47107438016528924,0.12396694214876033,0.3305785123966942,0.0,0.024793388429752067,0.9752066115702479,0.01652892561983471
97,Drew Smyly,34,L,8,7,0.533,3.91,1,122.0,119,59,53,19,37,1,111,5,0,4,518,1.279,8.8,1.4,2.7,8.2,3.0,68%,smylydr01,0.9754098360655737,0.48360655737704916,0.4344262295081967,0.1557377049180328,0.30327868852459017,0.00819672131147541,0.040983606557377046,0.9098360655737705,0.03278688524590164
98,Ryan Yarbrough,31,L,5,7,0.417,4.46,1,101.0,104,55,50,14,26,1,82,8,0,3,433,1.287,9.3,1.2,2.3,7.3,3.15,68%,yarbrry01,1.0297029702970297,0.5445544554455446,0.49504950495049505,0.13861386138613863,0.25742574257425743,0.009900990099009901,0.07920792079207921,0.8118811881188119,0.0297029702970297
99,Paolo Espino,36,R,3,7,0.3,4.42,1,110.0,115,57,54,19,29,1,93,3,0,2,464,1.309,9.4,1.6,2.4,7.6,3.21,67%,espinpa01,1.0454545454545454,0.5181818181818182,0.4909090909090909,0.17272727272727273,0.2636363636363636,0.00909090909090909,0.02727272727272727,0.8454545454545455,0.01818181818181818
