Rk,Name,Age,T,W,L,W-L%,ERA,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Rel▼,Name-additional,H/ip,R/ip,ER/ip,HR/ip,BB/ip,IBB/ip,HBP/ip,SO/ip,WP/ip
100,Daniel Lynch,26,L,6,11,0.353,4.67,1,133.0,142,74,69,18,50,1,122,6,1,6,589,1.444,9.6,1.2,3.4,8.3,2.44,67%,lynchda02,1.0676691729323309,0.556390977443609,0.518796992481203,0.13533834586466165,0.37593984962406013,0.007518796992481203,0.045112781954887216,0.9172932330827067,0.045112781954887216
101,Drew Rasmussen,27,R,8,6,0.571,3.16,2,128.0,107,50,45,12,35,1,117,3,0,7,522,1.109,7.5,0.8,2.5,8.2,3.34,67%,rasmudr01,0.8359375,0.390625,0.3515625,0.09375,0.2734375,0.0078125,0.0234375,0.9140625,0.0546875
102,Kyle Wright,27,R,14,6,0.7,3.58,2,151.0,133,63,60,17,49,1,144,8,0,6,629,1.205,7.9,1.0,2.9,8.6,2.94,67%,wrighky01,0.8807947019867549,0.41721854304635764,0.3973509933774834,0.11258278145695365,0.32450331125827814,0.006622516556291391,0.052980132450331126,0.9536423841059603,0.039735099337748346
103,Tyler Alexander,28,L,4,7,0.364,4.19,1,103.0,102,51,48,15,29,1,81,3,0,2,434,1.272,8.9,1.3,2.5,7.1,2.79,66%,alexaty01,0.9902912621359223,0.49514563106796117,0.46601941747572817,0.14563106796116504,0.2815533980582524,0.009708737864077669,0.02912621359223301,0.7864077669902912,0.019417475728155338
104,Andrew Heaney,32,L,6,6,0.5,4.33,1,104.0,96,55,50,18,32,1,120,7,0,3,440,1.231,8.3,1.6,2.8,10.4,3.75,66%,heanean01,0.9230769230769231,0.5288461538461539,0.4807692307692308,0.17307692307692307,0.3076923076923077,0.009615384615384616,0.0673076923076923,1.1538461538461537,0.028846153846153848
105,Taylor Hearn,28,L,5,6,0.455,4.45,1,97.0,94,52,48,12,38,1,91,4,0,4,418,1.361,8.7,1.1,3.5,8.4,2.39,66%,hearnta01,0.9690721649484536,0.5360824742268041,0.4948453608247423,0.12371134020618557,0.3917525773195876,0.010309278350515464,0.041237113402061855,0.9381443298969072,0.041237113402061855
106,Jesús Luzardo,25,L,6,8,0.429,4.23,1,115.0,99,57,54,15,42,1,123,4,0,6,483,1.226,7.7,1.2,3.3,9.6,2.93,66%,luzarje01,0.8608695652173913,0.4956521739130435,0.46956521739130436,0.13043478260869565,0.3652173913043478,0.008695652173913044,0.034782608695652174,1.0695652173913044,0.05217391304347826
107,Jake Odorizzi,33,R,7,7,0.5,4.24,1,123.0,119,63,58,16,41,1,106,4,0,2,521,1.301,8.7,1.2,3.0,7.8,2.59,66%,odorija01,0.967479674796748,0.5121951219512195,0.4715447154471545,0.13008130081300814,0.3333333333333333,0.008130081300813009,0.032520325203252036,0.8617886178861789,0.016260162601626018
108,José Ureña,31,R,5,8,0.385,4.78,1,111.0,118,66,59,13,45,0,83,4,0,4,485,1.468,9.6,1.1,3.6,6.7,1.84,66%,urenajo01,1.063063063063063,0.5945945945945946,0.5315315315315315,0.11711711711711711,0.40540540540540543,0.0,0.036036036036036036,0.7477477477477478,0.036036036036036036
109,Freddy Peralta,27,R,7,5,0.583,3.33,1,108.0,78,43,40,10,38,1,126,6,0,3,444,1.074,6.5,0.8,3.2,10.5,3.32,65%,peralfr01,0.7222222222222222,0.39814814814814814,0.37037037037037035,0.09259259259259259,0.35185185185185186,0.009259259259259259,0.05555555555555555,1.1666666666666667,0.027777777777777776
